number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden1,params_hidden2,params_l1_lambda,params_lr,state
0,42.64264264264264,2024-12-11 12:20:14.670104,2024-12-11 12:20:17.912678,0 days 00:00:03.242574,64,251,120,1.1029658269719252e-05,0.007524560712153022,COMPLETE
1,37.23723723723724,2024-12-11 12:20:17.913322,2024-12-11 12:20:21.562960,0 days 00:00:03.649638,32,191,111,1.1120429379742064e-05,0.006077881465896498,COMPLETE
2,12.912912912912914,2024-12-11 12:20:21.563487,2024-12-11 12:20:24.738687,0 days 00:00:03.175200,64,187,88,5.4977137356150595e-05,0.0002555353249845294,COMPLETE
3,11.411411411411411,2024-12-11 12:20:24.739233,2024-12-11 12:20:27.422723,0 days 00:00:02.683490,32,211,128,5.69343073203933e-05,0.00014540123141673552,COMPLETE
4,18.91891891891892,2024-12-11 12:20:27.423247,2024-12-11 12:20:32.660198,0 days 00:00:05.236951,32,176,107,1.1465112267432689e-06,0.019154183424337643,COMPLETE
5,39.93993993993994,2024-12-11 12:20:32.660728,2024-12-11 12:20:35.525150,0 days 00:00:02.864422,32,93,126,2.584435042823329e-05,0.00689920429178627,COMPLETE
6,8.70870870870871,2024-12-11 12:20:35.525662,2024-12-11 12:20:37.924631,0 days 00:00:02.398969,32,221,75,0.00011207793940846767,1.4332727633730569e-05,COMPLETE
7,9.00900900900901,2024-12-11 12:20:37.925143,2024-12-11 12:20:42.300871,0 days 00:00:04.375728,16,194,66,0.00682564236196669,0.0025702752299550857,COMPLETE
8,11.11111111111111,2024-12-11 12:20:42.301396,2024-12-11 12:20:44.537921,0 days 00:00:02.236525,32,73,47,0.00956584325213976,0.0008227406499201058,COMPLETE
9,7.5075075075075075,2024-12-11 12:20:44.538453,2024-12-11 12:20:47.338092,0 days 00:00:02.799639,64,177,96,0.003973302281799692,0.000239214956888211,COMPLETE
10,7.807807807807808,2024-12-11 12:20:47.338640,2024-12-11 12:20:50.427706,0 days 00:00:03.089066,64,252,38,0.0005312975919361146,0.09122180202948006,COMPLETE
11,9.60960960960961,2024-12-11 12:20:50.428264,2024-12-11 12:20:53.197612,0 days 00:00:02.769348,16,122,121,5.737189751739567e-06,0.021525317709538156,COMPLETE
12,36.03603603603604,2024-12-11 12:20:53.198121,2024-12-11 12:20:55.304154,0 days 00:00:02.106033,64,126,108,8.525278557146112e-06,0.007087104770358679,COMPLETE
13,6.906906906906907,2024-12-11 12:20:55.304659,2024-12-11 12:20:57.211414,0 days 00:00:01.906755,64,65,128,1.55411669018008e-06,0.05271705732003859,COMPLETE
14,18.91891891891892,2024-12-11 12:20:57.211940,2024-12-11 12:21:00.026723,0 days 00:00:02.814783,16,128,115,0.0002963689761045995,0.0014643265058231567,COMPLETE
15,34.234234234234236,2024-12-11 12:21:00.027231,2024-12-11 12:21:02.424463,0 days 00:00:02.397232,32,95,98,2.3381084776387142e-05,0.006193156608242771,COMPLETE
16,17.117117117117118,2024-12-11 12:21:02.424975,2024-12-11 12:21:05.158108,0 days 00:00:02.733133,64,251,58,3.0161203522444524e-06,0.02191873918934771,COMPLETE
17,25.825825825825827,2024-12-11 12:21:05.158613,2024-12-11 12:21:07.450628,0 days 00:00:02.292015,32,154,81,1.7528127987589574e-05,0.0006695836027613779,COMPLETE
18,15.915915915915916,2024-12-11 12:21:07.451135,2024-12-11 12:21:09.736017,0 days 00:00:02.284882,64,145,100,0.0007937354692285182,0.0028910576336686673,COMPLETE
19,11.411411411411411,2024-12-11 12:21:09.736510,2024-12-11 12:21:12.625772,0 days 00:00:02.889262,16,103,118,0.00013434877866427692,3.43525340543466e-05,COMPLETE
20,33.333333333333336,2024-12-11 12:21:12.626276,2024-12-11 12:21:14.542610,0 days 00:00:01.916334,64,233,87,2.4040151712158712e-05,0.01093961531698492,COMPLETE
21,36.33633633633634,2024-12-11 12:21:14.543122,2024-12-11 12:21:17.474083,0 days 00:00:02.930961,32,204,113,9.675498995912856e-06,0.003168616403986451,COMPLETE
22,44.74474474474474,2024-12-11 12:21:17.474588,2024-12-11 12:21:20.020566,0 days 00:00:02.545978,32,239,120,3.4670622307933664e-06,0.005234611073173879,COMPLETE
23,15.015015015015015,2024-12-11 12:21:20.021072,2024-12-11 12:21:23.001114,0 days 00:00:02.980042,32,234,122,3.481586157967495e-06,0.04834871490322103,COMPLETE
24,33.333333333333336,2024-12-11 12:21:23.001640,2024-12-11 12:21:26.161999,0 days 00:00:03.160359,32,236,105,3.881779424462229e-06,0.0015824266103601598,COMPLETE
25,25.525525525525527,2024-12-11 12:21:26.162488,2024-12-11 12:21:28.895212,0 days 00:00:02.732724,32,256,128,2.8739119885204046e-05,0.011897780354153176,COMPLETE
26,38.13813813813814,2024-12-11 12:21:28.895706,2024-12-11 12:21:31.565869,0 days 00:00:02.670163,32,89,120,1.8116353919185718e-06,0.004034951479892997,COMPLETE
27,17.117117117117118,2024-12-11 12:21:31.566359,2024-12-11 12:21:35.384290,0 days 00:00:03.817931,16,224,94,5.001007544874694e-05,0.0005046966519068578,COMPLETE
28,11.11111111111111,2024-12-11 12:21:35.384810,2024-12-11 12:21:37.693602,0 days 00:00:02.308792,32,164,114,6.060047039484076e-06,0.036754248921839906,COMPLETE
29,36.93693693693694,2024-12-11 12:21:37.694120,2024-12-11 12:21:41.280749,0 days 00:00:03.586629,64,206,104,1.3888953137370557e-05,0.010679149523168672,COMPLETE
30,18.61861861861862,2024-12-11 12:21:41.281262,2024-12-11 12:21:44.553922,0 days 00:00:03.272660,32,242,111,0.00020770401945768429,0.001383301586116672,COMPLETE
31,37.83783783783784,2024-12-11 12:21:44.554435,2024-12-11 12:21:46.490346,0 days 00:00:01.935911,32,86,121,2.11488137810807e-06,0.0042188832005918215,COMPLETE
32,37.53753753753754,2024-12-11 12:21:46.490866,2024-12-11 12:21:50.205925,0 days 00:00:03.715059,32,108,123,2.3228825997506066e-06,0.005032583839761916,COMPLETE
33,43.24324324324324,2024-12-11 12:21:50.206448,2024-12-11 12:21:52.569204,0 days 00:00:02.362756,32,78,120,6.218176490399737e-06,0.0021936107467096172,COMPLETE
34,26.726726726726728,2024-12-11 12:21:52.569729,2024-12-11 12:21:55.979644,0 days 00:00:03.409915,32,77,127,3.855795659861323e-05,0.002161176604070107,COMPLETE
35,22.822822822822822,2024-12-11 12:21:55.980176,2024-12-11 12:21:59.276810,0 days 00:00:03.296634,32,106,115,5.965640340247551e-06,0.0003796879346317023,COMPLETE
36,14.114114114114114,2024-12-11 12:21:59.277326,2024-12-11 12:22:02.420303,0 days 00:00:03.142977,32,218,110,7.259155296226023e-05,9.691703808957175e-05,COMPLETE
37,40.54054054054054,2024-12-11 12:22:02.420842,2024-12-11 12:22:05.001108,0 days 00:00:02.580266,64,185,88,1.1632635640967563e-06,0.008855718542870848,COMPLETE
38,24.924924924924923,2024-12-11 12:22:05.001629,2024-12-11 12:22:07.010146,0 days 00:00:02.008517,64,175,91,1.058279079607748e-06,0.014293490164358017,COMPLETE
39,35.73573573573574,2024-12-11 12:22:07.010643,2024-12-11 12:22:10.871000,0 days 00:00:03.860357,64,191,70,1.3215414336411758e-06,0.0075403177418127,COMPLETE
40,26.726726726726728,2024-12-11 12:22:10.871523,2024-12-11 12:22:13.571309,0 days 00:00:02.699786,64,198,85,4.3046250557833685e-06,0.0009866264693224342,COMPLETE
41,31.23123123123123,2024-12-11 12:22:13.571863,2024-12-11 12:22:15.649321,0 days 00:00:02.077458,64,138,55,1.2034324208549673e-05,0.002160231892513462,COMPLETE
42,15.315315315315315,2024-12-11 12:22:15.649853,2024-12-11 12:22:18.160339,0 days 00:00:02.510486,64,245,101,8.023780618710235e-06,0.03105336573004975,COMPLETE
43,26.426426426426428,2024-12-11 12:22:18.160881,2024-12-11 12:22:20.863044,0 days 00:00:02.702163,32,64,125,1.6379606804019264e-05,0.008379398753461685,COMPLETE
44,12.912912912912914,2024-12-11 12:22:20.863556,2024-12-11 12:22:24.017098,0 days 00:00:03.153542,16,180,117,2.5493220512348457e-06,0.018843134588275332,COMPLETE
45,37.83783783783784,2024-12-11 12:22:24.017638,2024-12-11 12:22:26.396294,0 days 00:00:02.378656,64,116,108,5.426568470645299e-06,0.005288857867365905,COMPLETE
46,8.70870870870871,2024-12-11 12:22:26.396823,2024-12-11 12:22:28.330572,0 days 00:00:01.933749,32,76,74,9.234357542295106e-06,0.07559281265871322,COMPLETE
47,24.624624624624623,2024-12-11 12:22:28.331088,2024-12-11 12:22:30.676806,0 days 00:00:02.345718,64,215,124,1.0333459137323867e-06,0.01764057562785166,COMPLETE
48,24.024024024024023,2024-12-11 12:22:30.677320,2024-12-11 12:22:33.066075,0 days 00:00:02.388755,32,224,43,7.561584056937722e-05,0.0034140177366086136,COMPLETE
49,11.411411411411411,2024-12-11 12:22:33.066585,2024-12-11 12:22:37.362412,0 days 00:00:04.295827,16,165,62,3.2724402139116054e-05,0.02628688855757777,COMPLETE
